rank,name,worldwide_box_office,movies,average
273,Garth Jennings,632483611,1,632483611
274,Wong Jing,624504478,10,62450448
275,David Dobkin,623700070,7,89100010
276,Ben Stiller,618041759,7,88291680
277,James L. Brooks,604048330,6,100674722
278,Neill Blomkamp,603647578,3,201215859
279,Malcolm D. Lee,598609199,13,46046861
280,Walt Becker,598177643,4,149544411
281,Andy Fickman,596070111,7,85152873
282,Harold Ramis,595543058,11,54140278
283,Larry Charles,595092528,6,99182088
284,Damien Chazelle,592416473,5,118483295
285,Stephen Frears,591793321,22,26899696
286,Duncan Jones,590004396,5,118000879
287,Catherine Hardwicke,586756151,10,58675615
288,Gavin Hood,585824539,7,83689220
289,Nathan Greno,585727091,2,292863546
290,Spike Lee,585184350,30,19506145
291,Herbert Ross,583032942,17,34296055
292,Karey Kirkpatrick,579517464,3,193172488
293,Sam Taylor-Johnson,578864301,3,192954767
294,Mick Jackson,576775742,7,82396535
295,Chad Stahelski,573180056,5,114636011
296,Kirk De Micco,573068425,1,573068425
297,Rupert Sanders,568932436,4,142233109
298,Randal Kleiser,568884392,10,56888439
299,Jordan Vogt-Roberts,562434668,3,187478223
300,Jim Abrahams,560178008,8,70022251
301,Neil Burger,557398324,4,139349581
302,Harald Zwart,556019223,5,111203845
303,Mark Andrews,554763947,2,277381974
304,Peter Hyams,552813688,17,32518452
305,Norman Jewison,552136172,21,26292199
306,Robert Wise,550263575,16,34391473
307,Morten Tyldum,550168875,3,183389625
308,Nick Cassavetes,550045646,11,50004150
309,John Lee Hancock,549474389,8,68684299
310,Makoto Shinkai,549379761,4,137344940
311,Travis Knight,542743711,3,180914570
312,Peter Sohn,539083703,2,269541852
313,Guy Hamilton,537457152,10,53745715
314,Emile Ardolino,537282767,6,89547128
315,Richard Marquand,537277436,4,134319359
316,Ethan Coen,537119703,7,76731386
317,Anthony Minghella,533617311,7,76231044
318,Gabriele Muccino,533243523,10,53324352
319,Phil Johnston,529290830,1,529290830
320,Kent Seki,527965936,1,527965936
321,Wilson Yip,526411878,6,87735313
322,P.J. Hogan,521777564,6,86962927
323,Alessandro Carloni,521170825,2,260585413
324,Rupert Wyatt,519067441,4,129766860
325,Eric Toledano,515284505,3,171761502
326,Olivier Nakache,515284505,3,171761502
327,Scott Mosier,514325574,1,514325574
328,Yarrow Cheney,514325574,1,514325574
